Classification Keywords,"Keep (Yes, No, Discussion)",Title,Consider (Y/N/T),,Unnamed: 2,Cites,Authors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Query,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,acc1,acc2,acc5,acc20,hA
"Transparency, Reliability, Fairness, Explainability",Discussion,""" Why Should You Trust My Explanation?"" Understanding Uncertainty in LIME Explanations",T,3,186,30.0,"Y Zhang, K Song, Y Sun, S Tan, M Udell",2019.0,arXiv preprint arXiv:1904.12991,arxiv.org,https://arxiv.org/abs/1904.12991,https://scholar.google.com/scholar?cites=7508349093468144835&as_sdt=2005&sciodt=2007&hl=en,187.0,2022-07-13 10:02:07,,,,,,,,,30,10.0,6.0,5.0,3.0,… black-box machine learning models aim to increase the transparency of these model and … and raises concern about the model’s robustness. Focusing on a particular local explanations …,https://arxiv.org/pdf/1904.12991,https://scholar.google.com/scholar?q=related:w4TLNbgDM2gJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22transparency%22&hl=en&as_sdt=2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adversarial, Deep Learning",Discussion,A Brief Introduction to Visual Adversarial Samples,T,248,180,1.0,W. Wang,2020.0,Journal of Cyber Security,,,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083710476&origin=inward,181.0,2022-07-12 16:24:02,Article,10.19363/J.cnki.cn10-1380/tn.2020.02.04,2096-1146,https://api.elsevier.com/content/abstract/scopus_id/85083710476,5.0,2.0,39.0,48.0,1,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unknown Unknowns, Human-in-the-Loop, Relation Extraction",Discussion,A Crowdsourcing Based Human-in-the-Loop Framework for Denoising UUs in Relation Extraction Tasks,T,349,167,0.0,"M Li, J Jin, W Wu, Y Yang, L He…",2019.0,2019 International Joint …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8851951/,,168.0,2022-07-14 12:00:14,,,,,,,,,0,0.0,0.0,6.0,3.0,"… achieve a relative good performance compared to traditional machine learning methods [1], [2]… Qin, “Robust distant supervision relation extraction via deep reinforcement learning,” arXiv …",,https://scholar.google.com/scholar?q=related:hTl23y4q2-MJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22human+in+the+loop%22&hl=en&as_sdt=2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adversarial, Survey",Discussion,A Study of Black Box Adversarial Attacks in Computer Vision,T,1206,184,9.0,"Siddhant Bhambri, Sumanyu Muku, Avinash Tulasi, A. Buduru",2019.0,,,,,185.0,2022-07-13 09:24:21,,,,,,,,,9,3.0,2.0,4.0,3.0,"Machine learning has seen tremendous advances in the past few years which has lead to deep learning models being deployed in varied applications of day-to-day life. Attacks on such models using perturbations, particularly in real-life scenarios, pose a serious challenge to their applicability, pushing research into the direction which aims to enhance the robustness of these models. After the introduction of these perturbations by Szegedy et al., significant amount of research has focused on the reliability of such models, primarily in two aspects - white-box, where the adversary has access to the targeted model and related parameters; and the black-box, which resembles a real-life scenario with the adversary having almost no knowledge of the model to be attacked. We propose to attract attention on the latter scenario and thus, present a comprehensive comparative study among the different adversarial black-box attack approaches proposed till date. The second half of this literature survey focuses on the defense techniques. This is the first study, to the best of our knowledge, that specifically focuses on the black-box setting to motivate future work on the same.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Discussion,A Survey of Data-Driven and Knowledge-Aware eXplainable AI,T,1235,195,43.0,"Xiao-hui Li, Caleb Chen Cao, Yuhan Shi, Wei Bai, Han Gao, Luyu Qiu, Cong Wang, Yuanyuan Gao, Shenjia Zhang, Xun Xue, Lei Chen",2020.0,,,,,196.0,2022-07-13 09:20:03,,10.1109/tkde.2020.2983930,,,,,,,43,21.5,4.0,11.0,2.0,"We are witnessing a fast development of Artificial Intelligence (AI), but it becomes dramatically challenging to explain AI models in the past decade. “Explanation” has a flexible philosophical concept of “satisfying the subjective curiosity for causal information”, driving a wide spectrum of methods being invented and/or adapted from many aspects and communities, including machine learning, visual analytics, human-computer interaction and so on. Nevertheless, from the view-point of data and knowledge engineering (DKE), a best explaining practice that is cost-effective in terms of extra intelligence acquisition should exploit the causal information and explaining scenarios which is hidden richly in the data itself. In the past several years, there are plenty of works contributing in this line but there is a lack of a clear taxonomy and systematic review of the current effort. To this end, we propose this survey, reviewing and taxonomizing existing efforts from the view-point of DKE, summarizing their contribution, technical essence and comparative characteristics. Specifically, we categorize methods into data-driven methods where explanation comes from the task-related data, and knowledge-aware methods where extraneous knowledge is incorporated. Furthermore, in the light of practice, we provide survey of state-of-art evaluation metrics and deployed explanation applications in industrial practice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Discussion,A Survey of Domain Knowledge Elicitation in Applied Machine Learning,T,1239,1,1.0,"Dan Kerrigan, J. Hullman, E. Bertini",2021.0,,,,,2.0,2022-07-13 09:25:27,,10.3390/mti5120073,,,,,,,1,1.0,0.0,3.0,1.0,"Eliciting knowledge from domain experts can play an important role throughout the machine learning process, from correctly specifying the task to evaluating model results. However, knowledge elicitation is also fraught with challenges. In this work, we consider why and how machine learning researchers elicit knowledge from experts in the model development process. We develop a taxonomy to characterize elicitation approaches according to the elicitation goal, elicitation target, elicitation process, and use of elicited knowledge. We analyze the elicitation trends observed in 28 papers with this taxonomy and identify opportunities for adding rigor to these elicitation approaches. We suggest future directions for research in elicitation for machine learning by highlighting avenues for further exploration and drawing on what we can learn from elicitation research in other fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Discussion,"A Survey of Robust Adversarial Training in Pattern Recognition: Fundamental, Theory, and Methodologies",T,1246,43,1.0,"Z Qian, K Huang, QF Wang, XY Zhang",2022.0,arXiv preprint arXiv:2203.14046,arxiv.org,https://arxiv.org/abs/2203.14046,https://scholar.google.com/scholar?cites=13393588685856064553&as_sdt=2005&sciodt=2007&hl=en,44.0,2022-07-13 17:19:08,,,,,,,,,1,1.0,0.0,4.0,1.0,… adversarial examples and robust adversarial training theoretically. We try to connect adversarial training and gradient regularization based on [36] and then visually interpret adversarial …,https://arxiv.org/pdf/2203.14046,https://scholar.google.com/scholar?q=related:KUQkkPKV37kJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22adversarial%22&hl=en&as_sdt=2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Discussion,A Survey on Adversarial Attack in the Age of Artificial Intelligence,T,1250,102,6.0,"Zixiao Kong, Jingfeng Xue, Yong Wang, Lu Huang, Zequn Niu, Feng Li",2021.0,,,,,103.0,2022-07-13 09:19:22,,10.1155/2021/4907754,,,,,,,6,6.0,1.0,6.0,1.0,"With the rapid evolution of the Internet, the application of artificial intelligence fields is more and more extensive, and the era of AI has come. At the same time, adversarial attacks in the AI field are also frequent. Therefore, the research into adversarial attack security is extremely urgent. An increasing number of researchers are working in this field. We provide a comprehensive review of the theories and methods that enable researchers to enter the field of adversarial attack. This article is according to the “Why? →What? → How?” research line for elaboration. Firstly, we explain the significance of adversarial attack. Then, we introduce the concepts, types, and hazards of adversarial attack. Finally, we review the typical attack algorithms and defense techniques in each application area. Facing the increasingly complex neural network model, this paper focuses on the fields of image, text, and malicious code and focuses on the adversarial attack classifications and methods of these three data types, so that researchers can quickly find their own type of study. At the end of this review, we also raised some discussions and open issues and compared them with other similar reviews.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Discussion,A Survey on Adversarial Recommender Systems: From Attack/Defense Strategies to Generative Adversarial Networks,T,1251,57,31.0,Y. Deldjoo,2021.0,ACM Computing Surveys,,,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098456355&origin=inward,58.0,2022-07-12 16:26:13,Review,10.1145/3439729,0360-0300,https://api.elsevier.com/content/abstract/scopus_id/85098456355,54.0,2.0,,,31,31.0,31.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Discussion,A Survey on Model Robustness under Adversarial Example,T,1269,137,2.0,K. Wang,2020.0,Journal of Cyber Security,,,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088222005&origin=inward,138.0,2022-07-12 16:24:02,Review,10.19363/J.cnki.cn10-1380/tn.2020.05.02,2096-1146,https://api.elsevier.com/content/abstract/scopus_id/85088222005,5.0,3.0,13.0,22.0,2,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
