Classification Keywords,"Keep (Yes, No, Discussion)",Title,Consider (Y/N/T),,Unnamed: 2,Cites,Authors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Query,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,acc1,acc2,acc5,acc20,hA
"Pruning, Robust, Performance",Yes,""" Understanding Robustness Lottery"": A Comparative Visual Analysis of Neural Network Pruning Approaches",T,1,0,0.0,"Z Li, S Liu, X Yu, K Bhavya, J Cao, DJ Daniel…",2022.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2206.07918,,13.0,2022-07-13 12:03:09,,,,,,,,,0,0.0,0.0,7.0,1.0,"… assumption that a well optimized neural network model reach to a function’… robustness in relationship to model’s internal representation. Particularly, our framework provides explanation …",https://arxiv.org/pdf/2206.07918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deep Learning, Robust, Learning-Enabled System, Uncertainty",Yes,"""know What You Know"": Predicting Behavior for Learning-Enabled Systems When Facing Uncertainty",T,12,111,2.0,M.A. Langford,2021.0,"Proceedings - 2021 International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2021",,,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113514072&origin=inward,112.0,2022-07-12 16:26:44,Conference Paper,10.1109/SEAMS51251.2021.00020,,https://api.elsevier.com/content/abstract/scopus_id/85113514072,,,78.0,89.0,2,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adversarial, Robust",Yes,(Certified!!) Adversarial Robustness for Free!,T,17,9,0.0,"N Carlini, F Tramer, JZ Kolter",2022.0,arXiv preprint arXiv:2206.10550,arxiv.org,https://arxiv.org/abs/2206.10550,,158.0,2022-07-13 09:47:56,,,,,,,,,0,0.0,0.0,3.0,1.0,"… predictions as is required for randomized smoothing to obtain a robustness certificate. … empirical robustness to adversarial examples, as evaluated by robustness under adversarial …",https://arxiv.org/pdf/2206.10550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neural Network, Uncertainty",Yes,A -Distribution Based Operator for Enhancing Out of Distribution Robustness of Neural Network Classifiers,T,171,117,1.0,"N Antonello, PN Garner",2020.0,IEEE Signal Processing Letters,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9115250/,https://scholar.google.com/scholar?cites=16743016879475944078&as_sdt=2005&sciodt=2007&hl=en,118.0,2022-07-13 10:25:08,,,,,,,,,1,0.5,1.0,2.0,2.0,"… Other techniques rely on learning confidence measures using … In this paper a novel method that produces reliable confidence … for benchmarking machine learning algorithms,” 2017, …",https://arxiv.org/pdf/2006.05389,https://scholar.google.com/scholar?q=related:jmqIwSQlW-gJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22confidence%22&hl=en&as_sdt=2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adversarial, Spiking Neural Network, Robust, Resilience",Yes,A Comprehensive Analysis on Adversarial Robustness of Spiking Neural Networks,T,313,168,17.0,"Saima Sharmin, P. Panda, Syed Shakib Sarwar, Chankyu Lee, Wachirawit Ponghiran, K. Roy",2019.0,,,,,169.0,2022-07-13 09:19:22,,10.1109/IJCNN.2019.8851732,,,,,,,17,6.07,3.0,6.0,3.0,"In this era of machine learning models, their functionality is being threatened by adversarial attacks. In the face of this struggle for making artificial neural networks robust, finding a model, resilient to these attacks, is very important. In this work, we present, for the first time, a comprehensive analysis of the behavior of more bio-plausible networks, namely Spiking Neural Network (SNN) under state-of-the-art adversarial tests. We perform a comparative study of the accuracy degradation between conventional VGG-9 Artificial Neural Network (ANN) and equivalent spiking network with CIFAR-10 dataset in both whitebox and blackbox setting for different types of single-step and multi-step FGSM (Fast Gradient Sign Method) attacks. We demonstrate that SNNs tend to show more resiliency compared to ANN under blackbox attack scenario. Additionally, we find that SNN robustness is largely dependent on the corresponding training mechanism. We observe that SNNs trained by spike-based backpropagation are more adversarially robust than the ones obtained by ANN-to-SNN conversion rules in several whitebox and blackbox scenarios. Finally, we also propose a simple, yet, effective framework for crafting adversarial attacks from SNNs. Our results suggest that attacks crafted from SNNs following our proposed method are much stronger than those crafted from ANNs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adversarial, Graph Neural Network, Perturbation, Survey",Yes,"A Comprehensive Survey on Trustworthy Graph Neural Networks: Privacy, Robustness, Fairness, and Explainability",T,316,131,1.0,"E Dai, T Zhao, H Zhu, J Xu, Z Guo, H Liu, J Tang…",2022.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2204.08570,https://scholar.google.com/scholar?cites=15220919062935286572&as_sdt=2005&sciodt=2007&hl=en,132.0,2022-07-12 11:56:04,,,,,,,,,1,1.0,0.0,8.0,1.0,"… In this paper, we give a comprehensive survey of GNNs in the computational aspects of privacy, robustness, fairness, and explainability. For each aspect, we give the taxonomy of the …",https://arxiv.org/pdf/2204.08570,https://scholar.google.com/scholar?q=related:LLM6bT6RO9MJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22explainability%22&hl=en&as_sdt=2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Training, Regularization, Robust",Yes,A Consistency Regularization for Certified Robust Neural Networks,T,330,188,0.0,"M Xu, T Zhang, Z Li, D Zhang",2021.0,… Conference on Artificial Intelligence,Springer,https://link.springer.com/chapter/10.1007/978-3-030-93049-3_3,,189.0,2022-07-14 08:45:17,,10.1007/978-3-030-93049-3_3,,,,,,,0,0.0,0.0,4.0,1.0,"… of robust constraint and original accuracy … accuracy as well as certified robustness of the network. However, for misclassified examples, the constraints on robustness and accuracy are …",,https://scholar.google.com/scholar?q=related:470AnYgltUIJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22accuracy%22&hl=en&as_sdt=2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recurrent Neural Network, Stability, Robust",Yes,A Convex Parameterization of Robust Recurrent Neural Networks,T,336,173,7.0,M. Revay,2021.0,IEEE Control Systems Letters,,,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096842800&origin=inward,174.0,2022-07-12 16:26:49,Article,10.1109/LCSYS.2020.3038221,2475-1456,https://api.elsevier.com/content/abstract/scopus_id/85096842800,5.0,4.0,1363.0,1368.0,7,7.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robust, Design, Optimization, Survey",Yes,A Critical Review of Surrogate Assisted Robust Design Optimization,T,345,49,0.0,"Tanmoy Chatterjee, Souvik Chakraborty, Rajib Chowdhury",2019.0,Archives Of Computational Methods In Engineering,,,,50.0,2022-07-15 11:21:17,Review,10.1007/s11831-017-9240-5,1134-3060,,26.0,1.0,245.0,274.0,0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malware, Adversarial, Robust",Yes,A Deep Learning-based Fine-grained Hierarchical Learning Approach for Robust Malware Classification,T,379,136,3.0,"Ahmed A. Abusnaina, M. Abuhamad, Hisham Alasmary, Afsah Anwar, Rhongho Jang, Saeed Salem, Daehun Nyang, David A. Mohaisen",2020.0,,,,,137.0,2022-07-13 09:38:44,,10.1109/tdsc.2021.3097296,,,,,,,3,1.5,0.0,8.0,2.0,"The wide acceptance of Internet of Things (IoT) for both household and industrial applications is accompanied by several security concerns. A major security concern is their probable abuse by adversaries towards their malicious intent. Understanding and analyzing IoT malicious behaviors is crucial, especially with their rapid growth and adoption in wide-range of applications. However, recent studies have shown that machine learning-based approaches are susceptible to adversarial attacks by adding junk codes to the binaries, for example, with an intention to fool those machine learning or deep learning-based detection systems. Realizing the importance of addressing this challenge, this study proposes a malware detection system that is robust to adversarial attacks. To do so, examine the performance of the state-of-the-art methods against adversarial IoT software crafted using the graph embedding and augmentation techniques. In particular, we study the robustness of such methods against two black-box adversarial methods, GEA and SGEA, to generate Adversarial Examples (AEs) with reduced overhead, and keeping their practicality intact. Our comprehensive experimentation with GEA-based AEs show the relation between misclassification and the graph size of the injected sample. Upon optimization and with small perturbation, by use of SGEA, all the IoT malware samples are misclassified as benign. This highlights the vulnerability of current detection systems under adversarial settings. With the landscape of possible adversarial attacks, we then propose DL-FHMC, a fine-grained hierarchical learning approach for malware detection and classification, that is robust to AEs with a capability to detect 88.52% of the malicious AEs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
